village_id,village,district,block,state,is_core_sample,latitude,longitude,distance_to_border_km,village_source,district_verified,vv_before,vh_before,vv_after,vh_after,sar_before_image_count,sar_after_image_count
1,Upper Traflagam 266829,Anjaw,Unknown,Arunachal Pradesh,True,28.3500638,96.6336613,10.208156031306832,control (non-VVP),True,-10.085831162742194,-16.310624308900206,-10.49841254324967,-16.944226070466033,11.0,14.0
2,Tarampa,Anjaw,Unknown,Arunachal Pradesh,True,28.3416126,96.6186283,11.259931743843367,control (non-VVP),True,-6.526923232285509,-13.125894228385755,-7.044964914181902,-13.732185768536922,11.0,14.0
3,Matkrong,Anjaw,Unknown,Arunachal Pradesh,True,27.8559038,96.9824133,12.21174958433055,control (non-VVP),True,-9.027644900194638,-15.896635001435998,-9.200342039686117,-15.914330665990663,11.0,15.0
4,Abochagan,Anjaw,Unknown,Arunachal Pradesh,True,28.3136489,96.6140466,14.385494242096671,control (non-VVP),True,-9.754058713462014,-15.73066635044682,-10.066460655794453,-16.28668830358297,11.0,14.0
5,Khalega,Anjaw,Unknown,Arunachal Pradesh,True,28.2806477,96.5718641,17.389387120162088,control (non-VVP),True,-14.871077677640994,-20.3132155961985,-15.245309325519116,-20.996388560758803,11.0,14.0
6,Shirong,Anjaw,Unknown,Arunachal Pradesh,True,27.903587,96.9409105,18.879751233480885,control (non-VVP),True,-6.389722113261102,-13.318571567795605,-6.593672106368037,-13.402934962760256,11.0,15.0
7,Khampti Pani,Anjaw,Unknown,Arunachal Pradesh,True,27.9282865,96.9573301,20.07481274759241,control (non-VVP),True,-5.292525834222294,-12.352205936259203,-5.366850600403297,-12.384371735529497,11.0,15.0
8,Xiao Madengliang,Anjaw,Unknown,Arunachal Pradesh,True,28.2208547,96.5152684,20.66721205919266,control (non-VVP),True,-3.830512644783549,-10.68048726802938,-3.907168927599072,-10.850233866697431,11.0,14.0
9,Tilam,Anjaw,Unknown,Arunachal Pradesh,True,28.1432798,97.0060273,21.122207787766506,control (non-VVP),True,-5.368786217333245,-11.906925559788991,-5.470332651109579,-11.77153092742296,11.0,14.0
10,Minjong,Anjaw,Unknown,Arunachal Pradesh,True,27.9447015,96.9531849,21.775446122663485,control (non-VVP),True,-1.6172308103294784,-8.698839372809482,-2.0000787723482745,-8.71522255781759,11.0,15.0
11,Jiliang,Anjaw,Unknown,Arunachal Pradesh,True,28.2187403,96.536865,21.785872271677064,control (non-VVP),True,-10.633436084868476,-16.524640257439955,-10.794235087768902,-16.76971274397944,11.0,14.0
12,Walang,Anjaw,Unknown,Arunachal Pradesh,True,27.882509,96.8550641,21.853357578949343,control (non-VVP),True,-7.216228354319149,-13.813467767367396,-7.356809681932009,-14.001959097504646,11.0,15.0
13,Tinai,Anjaw,Unknown,Arunachal Pradesh,True,28.1383669,97.0271327,22.12939324344721,control (non-VVP),True,-10.090278507015572,-17.296035417097045,-9.965039803192688,-17.279824578578285,11.0,14.0
14,Kalin,Anjaw,Unknown,Arunachal Pradesh,True,27.9654847,96.9709934,22.15837709115443,control (non-VVP),True,-12.359048319548537,-18.96228392244848,-12.466393977733253,-19.065043891239227,11.0,15.0
15,Halla,Anjaw,Unknown,Arunachal Pradesh,True,27.9655372,96.962708,22.66191626116016,control (non-VVP),True,-2.2800328763138458,-9.324658126085064,-2.4450735063833826,-9.423036678459711,11.0,15.0
16,Yashong Camp,Anjaw,Unknown,Arunachal Pradesh,True,27.9752592,96.9686698,23.166499666887443,control (non-VVP),True,-2.773561175612138,-9.790200140852674,-2.8353634372887333,-9.82032073383366,11.0,15.0
17,Kaladun,Anjaw,Unknown,Arunachal Pradesh,True,27.9839219,96.9737606,23.672719201131454,control (non-VVP),True,-9.869310744663109,-16.244163068919907,-10.098668451713843,-16.453180226064827,11.0,15.0
18,Menilkrai,Anjaw,Unknown,Arunachal Pradesh,True,28.1024223,97.0047561,25.56053181319565,control (non-VVP),True,-8.901539532081122,-16.13204842213389,-9.046044997637503,-15.981840075484843,11.0,14.0
19,Sarti,Anjaw,Unknown,Arunachal Pradesh,True,28.0081411,96.9619129,26.55964309895621,control (non-VVP),True,-2.8935621487394854,-10.255779908387314,-2.9193176498825952,-10.060333099912963,11.0,20.0
20,Tarafliang,Anjaw,Unknown,Arunachal Pradesh,True,28.1541848,96.5174198,27.7622677852453,control (non-VVP),True,-5.3261726209132325,-12.595506489415795,-5.796822702068528,-12.796770695521449,11.0,14.0
21,Chinagam,Anjaw,Unknown,Arunachal Pradesh,True,28.1625933,96.5530756,28.042568905542584,control (non-VVP),True,-11.17029294741011,-17.38151394907291,-11.52299934111626,-17.775761145914927,11.0,14.0
22,Nilang,Anjaw,Unknown,Arunachal Pradesh,True,28.1764497,96.6564414,28.486893314419977,control (non-VVP),True,-8.54536519290466,-15.436814774441316,-8.898070067137091,-15.664702325522072,11.0,14.0
23,Chipru,Anjaw,Unknown,Arunachal Pradesh,True,28.1503735,96.5374173,28.7529084694698,control (non-VVP),True,-8.957905861040079,-15.453107873803187,-9.422680500677496,-16.080678112829105,11.0,14.0
24,Jiongming,Anjaw,Unknown,Arunachal Pradesh,True,28.0367462,96.9717952,28.828837329459443,control (non-VVP),True,-6.98414620812246,-13.669599517029626,-7.12035329858619,-13.808379538720416,11.0,14.0
25,Warti,Anjaw,Unknown,Arunachal Pradesh,True,28.0392081,96.9729224,29.015113460311976,control (non-VVP),True,-9.23252247507936,-15.81665504592874,-9.216035845675137,-15.881534761387556,11.0,14.0
26,Chareimna,Anjaw,Unknown,Arunachal Pradesh,True,28.1695789,96.6589609,29.05506117418188,control (non-VVP),True,-11.802164445619336,-17.913146055911202,-12.009503260482363,-18.29481853158232,11.0,14.0
27,Bringkong,Anjaw,Unknown,Arunachal Pradesh,True,28.1715853,96.6504862,29.235932788914383,control (non-VVP),True,-2.4456471292786297,-9.803861339313038,-2.6306075818597257,-9.984431698626516,11.0,14.0
28,Baligam,Anjaw,Unknown,Arunachal Pradesh,True,28.1433091,96.5356291,29.43782006027962,control (non-VVP),True,-2.3970842036548685,-9.78641415564022,-2.8028111881063373,-10.210589366598102,11.0,14.0
29,Sethi,Anjaw,Unknown,Arunachal Pradesh,True,28.055845,96.9797354,30.465233345920453,control (non-VVP),True,-8.52395220996089,-15.422826491055297,-8.73198488581931,-15.504024228773062,11.0,14.0
30,Challang,Anjaw,Unknown,Arunachal Pradesh,True,28.1551886,96.6522501,30.782237092846348,control (non-VVP),True,-9.265651855426134,-15.83494318588623,-9.451299562658717,-16.17514711178602,11.0,14.0
31,Matiliang 266674,Anjaw,Unknown,Arunachal Pradesh,True,28.1076072,96.445203,30.920931427207496,control (non-VVP),True,-13.72037791315767,-19.80541299797644,-13.994595167996623,-19.81176794625768,11.0,14.0
32,Tololiang,Anjaw,Unknown,Arunachal Pradesh,True,28.1256641,96.547808,31.674637251537064,control (non-VVP),True,-17.09017230733093,-21.81195635015377,-17.906300619638337,-23.2479275812755,11.0,14.0
33,Chamemla,Anjaw,Unknown,Arunachal Pradesh,True,28.1286743,96.5620271,31.85281522562808,control (non-VVP),True,-12.404245568210056,-18.55036256221713,-12.74086484556976,-19.03314510167322,11.0,14.0
34,Bulimina,Anjaw,Unknown,Arunachal Pradesh,True,28.1406221,96.6583188,31.954247870225128,control (non-VVP),True,-8.240218399576072,-14.844510878093317,-8.603423976804667,-15.11830750233107,11.0,14.0
35,Hoiliang 266714,Anjaw,Unknown,Arunachal Pradesh,True,28.0981287,96.4478867,32.0053640309043,control (non-VVP),True,-10.446286884174857,-16.922955078837184,-10.66960367566059,-16.843114815203233,11.0,14.0
36,Tuboka,Anjaw,Unknown,Arunachal Pradesh,True,28.1222299,96.5542939,32.24772241518634,control (non-VVP),True,-12.53168261992803,-18.38116380645039,-13.128258763503498,-19.197095179802123,11.0,14.0
37,Tikromna,Anjaw,Unknown,Arunachal Pradesh,True,28.1182382,96.5447809,32.358005180805385,control (non-VVP),True,-11.518893895749796,-17.96805182229827,-12.074789382796896,-18.726628990148544,11.0,14.0
38,Adomla,Anjaw,Unknown,Arunachal Pradesh,True,28.1135364,96.5375112,32.63931418458326,control (non-VVP),True,-5.098391659417646,-12.29033257731064,-5.473229208612545,-12.872737816719948,11.0,14.0
39,Tafraliang,Anjaw,Unknown,Arunachal Pradesh,True,28.0886403,96.4529695,33.153023601738646,control (non-VVP),True,-7.211575435565452,-14.075398153704592,-7.657116603731112,-14.24944657003932,11.0,20.0
40,Paluliang,Anjaw,Unknown,Arunachal Pradesh,True,28.1167741,96.5706359,33.39289000170816,control (non-VVP),True,-0.79932835753798,-8.133362062024704,-1.196203844220869,-8.32656293553814,11.0,14.0
41,Tikromla,Anjaw,Unknown,Arunachal Pradesh,True,28.0971168,96.5348369,34.31385251032624,control (non-VVP),True,-7.314470558399939,-13.980360334687322,-7.781855017214895,-14.619612949215506,11.0,14.0
42,Champhai,Anjaw,Unknown,Arunachal Pradesh,True,28.1085212,96.57408,34.3674923444699,control (non-VVP),True,-2.118038169645049,-9.39297979226145,-2.435537513158061,-9.565973711509663,11.0,14.0
43,Chirang 266667,Anjaw,Unknown,Arunachal Pradesh,True,28.0684239,96.4069505,34.51581155631747,control (non-VVP),True,-4.038448947300429,-10.848086735515476,-4.61745221375776,-11.321814927104745,11.0,15.0
44,Barafu,Anjaw,Unknown,Arunachal Pradesh,True,28.1017011,96.558488,34.52797727422521,control (non-VVP),True,-2.6398158757897847,-9.78455018908044,-2.991459379699764,-10.238872846259696,11.0,14.0
45,Langum,Anjaw,Unknown,Arunachal Pradesh,True,28.1218659,96.6112899,34.76622900601115,control (non-VVP),True,-7.02982624545198,-13.795394681293017,-7.503966748696165,-14.34215541207112,11.0,14.0
46,Khupa Village 266673,Anjaw,Unknown,Arunachal Pradesh,True,28.0771387,96.4736667,34.92083910596573,control (non-VVP),True,-7.928519959523148,-14.54042005361492,-8.53121449393391,-14.946215523913054,11.0,15.0
47,Hayugam,Anjaw,Unknown,Arunachal Pradesh,True,28.0893566,96.5438268,35.3843601683056,control (non-VVP),True,-11.30861816764522,-17.489273362279352,-11.594893485918163,-17.908357844696805,11.0,14.0
48,Kalamdia,Anjaw,Unknown,Arunachal Pradesh,True,28.0994655,96.5765815,35.38966199183561,control (non-VVP),True,-3.538653252122238,-10.747540199395836,-3.909934518987518,-11.054153153548224,11.0,14.0
49,Khugam,Anjaw,Unknown,Arunachal Pradesh,True,28.0970181,96.5765587,35.64039244454056,control (non-VVP),True,-5.157605395568546,-12.285265341761862,-5.506491403457666,-12.61294100062447,11.0,14.0
50,Swami Camp,Anjaw,Unknown,Arunachal Pradesh,True,28.0761921,96.5004673,35.71663701514807,control (non-VVP),True,-4.193996229372535,-11.45599902023309,-4.369295436121599,-11.67234357934628,11.0,15.0
51,Chameliang,Anjaw,Unknown,Arunachal Pradesh,True,28.081538,96.5395274,36.10070905223501,control (non-VVP),True,-8.544008146785938,-15.194826091608643,-8.815160013190798,-15.532934041860642,11.0,14.0
52,Nenuliang,Anjaw,Unknown,Arunachal Pradesh,True,28.0695914,96.5025516,36.47740878026867,control (non-VVP),True,-12.061834755941002,-18.789716470422583,-12.41297835277835,-19.469068490834445,11.0,15.0
53,Khupa Township,Anjaw,Unknown,Arunachal Pradesh,True,28.0654038,96.4926664,36.669653927690405,control (non-VVP),True,-5.002405565236195,-12.0397111265583,-5.070284191019027,-12.188407531065224,11.0,15.0
54,Amliang,Anjaw,Unknown,Arunachal Pradesh,True,28.0586788,96.4688356,36.772239821896335,control (non-VVP),True,-7.709439070255702,-14.6243228358786,-8.193539224725079,-15.134622492447903,11.0,15.0
55,Mompani,Anjaw,Unknown,Arunachal Pradesh,True,28.0513007,96.4415599,36.90022530314944,control (non-VVP),True,-2.8660314762661354,-9.89265324857721,-3.485463568702401,-10.34659428122776,11.0,15.0
56,Langjon,Anjaw,Unknown,Arunachal Pradesh,True,28.053427,96.4586965,37.07185575220221,control (non-VVP),True,-9.56039569213605,-16.276012239656527,-10.477349298340735,-16.906823144363152,11.0,15.0
57,Thamptong 266699,Anjaw,Unknown,Arunachal Pradesh,True,28.0678982,96.519264,37.09174843787751,control (non-VVP),True,-8.17874179970176,-14.90413337535616,-8.505590252478752,-15.208949771244596,11.0,15.0
58,Talang,Anjaw,Unknown,Arunachal Pradesh,True,28.0840788,96.5820921,37.17372787408739,control (non-VVP),True,-9.650863570138906,-16.199307277618313,-10.09424528353548,-16.602390977876745,11.0,14.0
59,Mahikong,Anjaw,Unknown,Arunachal Pradesh,True,28.0544424,96.4828253,37.58834433224498,control (non-VVP),True,-10.785650419670644,-17.39455563707351,-11.655284835534877,-18.020944101138756,11.0,15.0
60,Tepang,Anjaw,Unknown,Arunachal Pradesh,True,27.9688421,96.7188848,37.9259149195321,control (non-VVP),True,-12.932763648170326,-19.12043786797959,-13.455704194425987,-19.588672867017497,11.0,15.0
61,Blom,Anjaw,Unknown,Arunachal Pradesh,True,28.0783604,96.5876028,37.96428159431192,control (non-VVP),True,-11.15066971452295,-17.572360849658846,-11.541037127931256,-17.974790609035697,11.0,14.0
62,布拉母哈岗,Anjaw,Unknown,Arunachal Pradesh,True,28.0669816,96.5559722,38.103619818542384,control (non-VVP),True,-8.844047123262115,-15.882090925976923,-9.309147621721229,-16.47103611805561,11.0,15.0
63,Kamba,Anjaw,Unknown,Arunachal Pradesh,True,28.0665856,96.5608784,38.29061279666109,control (non-VVP),True,-7.597515967897016,-14.650701984039234,-7.852317430541015,-15.025826154309248,11.0,15.0
64,Chillang,Anjaw,Unknown,Arunachal Pradesh,True,28.0356469,96.4227016,38.30913224271945,control (non-VVP),True,-3.0043543731345648,-10.216079177875828,-3.346655387365555,-10.5001420065714,22.0,19.0
65,Chingraliang 266703,Anjaw,Unknown,Arunachal Pradesh,True,28.0460551,96.4835718,38.5057562974661,control (non-VVP),True,-7.8409002612941565,-14.377081526926135,-7.998392293578816,-14.496619623499472,11.0,15.0
66,Mele 266697,Anjaw,Unknown,Arunachal Pradesh,True,28.0533163,96.5470204,39.31156367802646,control (non-VVP),True,-4.729265181942276,-11.710212899946509,-5.076983688846222,-12.120531564468656,11.0,15.0
67,Karangliang,Anjaw,Unknown,Arunachal Pradesh,True,28.0328845,96.4619146,39.35483127096242,control (non-VVP),True,-8.40118725329392,-14.945256283475212,-8.895218975582207,-15.329847238650302,22.0,19.0
68,Naraliang,Anjaw,Unknown,Arunachal Pradesh,True,28.0272329,96.4412739,39.516581462951535,control (non-VVP),True,-2.506121586248783,-10.029754883048076,-2.933558303459505,-10.229474658957663,11.0,15.0
69,Takaliang,Anjaw,Unknown,Arunachal Pradesh,True,28.0190688,96.4160791,40.05087119190448,control (non-VVP),True,-4.2083133563466655,-11.467619824717696,-4.655478598556673,-11.762972860944185,11.0,15.0
70,Chiphugam 266713,Anjaw,Unknown,Arunachal Pradesh,True,28.0127703,96.4014324,40.608662519250345,control (non-VVP),True,0.4264767427430974,-6.95084446887556,-0.0385833386630857,-7.254289074245682,11.0,15.0
71,Khorlang,Anjaw,Unknown,Arunachal Pradesh,True,28.0257952,96.487329,40.77244573605165,control (non-VVP),True,-4.671966612874088,-11.720754355614917,-4.962603437400047,-11.965931939415569,22.0,19.0
72,Tummla,Anjaw,Unknown,Arunachal Pradesh,True,28.0474659,96.582792,40.9916149981248,control (non-VVP),True,-9.042054891900031,-16.104279340052752,-9.51282764477253,-16.764775955648865,11.0,15.0
73,Matong,Anjaw,Unknown,Arunachal Pradesh,True,28.0593901,96.6181031,41.1988576731284,control (non-VVP),True,-11.39611074837985,-17.587319535599587,-11.882259553630096,-18.190855146455316,11.0,20.0
74,Paya,Anjaw,Unknown,Arunachal Pradesh,True,28.0083682,96.4228615,41.3081896196448,control (non-VVP),True,-4.953708118188943,-12.25330128651767,-5.445492411397221,-12.576938903784711,11.0,15.0
75,Supnung,Anjaw,Unknown,Arunachal Pradesh,True,28.0571961,96.6182474,41.42029518150113,control (non-VVP),True,-12.178902553620263,-18.19294040396618,-12.502513527688436,-18.65350323964621,11.0,15.0
76,Bruini,Dibang Valley,Unknown,Arunachal Pradesh,True,29.1545325,96.1488625,4.739801400488968,control (non-VVP),True,-12.013401690690634,-17.84321432814732,-13.093629497344722,-18.98621812566073,20.0,13.0
