village_id,village,district,block,state,is_core_sample,latitude,longitude,distance_to_border_km,village_source,district_verified,built_before,built_after,built_before_image_count,built_after_image_count
1,Upper Traflagam 266829,Anjaw,Unknown,Arunachal Pradesh,True,28.3500638,96.6336613,10.208156031306832,control (non-VVP),True,,0.03566453827560286,0,2
2,Tarampa,Anjaw,Unknown,Arunachal Pradesh,True,28.3416126,96.6186283,11.259931743843367,control (non-VVP),True,,0.05380322436580845,0,2
3,Matkrong,Anjaw,Unknown,Arunachal Pradesh,True,27.8559038,96.9824133,12.21174958433055,control (non-VVP),True,,0.03616082094203944,2,8
4,Abochagan,Anjaw,Unknown,Arunachal Pradesh,True,28.3136489,96.6140466,14.385494242096671,control (non-VVP),True,,0.08448073122571871,0,2
5,Khalega,Anjaw,Unknown,Arunachal Pradesh,True,28.2806477,96.5718641,17.389387120162088,control (non-VVP),True,,0.05267663697614797,0,2
6,Shirong,Anjaw,Unknown,Arunachal Pradesh,True,27.903587,96.9409105,18.879751233480885,control (non-VVP),True,,0.043115584974005534,1,4
7,Khampti Pani,Anjaw,Unknown,Arunachal Pradesh,True,27.9282865,96.9573301,20.07481274759241,control (non-VVP),True,,0.07469072295653983,1,6
8,Xiao Madengliang,Anjaw,Unknown,Arunachal Pradesh,True,28.2208547,96.5152684,20.66721205919266,control (non-VVP),True,,0.07434046827777102,0,2
9,Tilam,Anjaw,Unknown,Arunachal Pradesh,True,28.1432798,97.0060273,21.122207787766506,control (non-VVP),True,,0.034757708656053384,0,3
10,Minjong,Anjaw,Unknown,Arunachal Pradesh,True,27.9447015,96.9531849,21.775446122663485,control (non-VVP),True,,0.03353138680521202,1,6
11,Jiliang,Anjaw,Unknown,Arunachal Pradesh,True,28.2187403,96.536865,21.785872271677064,control (non-VVP),True,,0.062238832320536404,0,2
12,Walang,Anjaw,Unknown,Arunachal Pradesh,True,27.882509,96.8550641,21.853357578949343,control (non-VVP),True,,0.042356164510466386,1,4
13,Tinai,Anjaw,Unknown,Arunachal Pradesh,True,28.1383669,97.0271327,22.12939324344721,control (non-VVP),True,,0.17332963981982014,0,3
14,Kalin,Anjaw,Unknown,Arunachal Pradesh,True,27.9654847,96.9709934,22.15837709115443,control (non-VVP),True,,0.03981743068728326,2,11
15,Halla,Anjaw,Unknown,Arunachal Pradesh,True,27.9655372,96.962708,22.66191626116016,control (non-VVP),True,,0.05654140729115428,1,6
16,Yashong Camp,Anjaw,Unknown,Arunachal Pradesh,True,27.9752592,96.9686698,23.166499666887443,control (non-VVP),True,0.0527873893312608,0.0482138393677466,2.0,11.0
17,Kaladun,Anjaw,Unknown,Arunachal Pradesh,True,27.9839219,96.9737606,23.672719201131454,control (non-VVP),True,0.0404955380048194,0.0487668173752161,2.0,11.0
18,Menilkrai,Anjaw,Unknown,Arunachal Pradesh,True,28.1024223,97.0047561,25.56053181319565,control (non-VVP),True,,0.10870645471472076,0,3
19,Sarti,Anjaw,Unknown,Arunachal Pradesh,True,28.0081411,96.9619129,26.55964309895621,control (non-VVP),True,,0.06419827534790758,1,6
20,Tarafliang,Anjaw,Unknown,Arunachal Pradesh,True,28.1541848,96.5174198,27.7622677852453,control (non-VVP),True,,0.07225805683874281,0,2
21,Chinagam,Anjaw,Unknown,Arunachal Pradesh,True,28.1625933,96.5530756,28.042568905542584,control (non-VVP),True,,0.032085955421880856,0,2
22,Nilang,Anjaw,Unknown,Arunachal Pradesh,True,28.1764497,96.6564414,28.486893314419977,control (non-VVP),True,,0.03883272209000243,0,2
23,Chipru,Anjaw,Unknown,Arunachal Pradesh,True,28.1503735,96.5374173,28.7529084694698,control (non-VVP),True,,0.05831461960386522,0,2
24,Jiongming,Anjaw,Unknown,Arunachal Pradesh,True,28.0367462,96.9717952,28.828837329459443,control (non-VVP),True,,0.05891782663880337,0,3
25,Warti,Anjaw,Unknown,Arunachal Pradesh,True,28.0392081,96.9729224,29.015113460311976,control (non-VVP),True,,0.06063773880245848,0,3
26,Chareimna,Anjaw,Unknown,Arunachal Pradesh,True,28.1695789,96.6589609,29.05506117418188,control (non-VVP),True,,0.04142891849678103,0,2
27,Bringkong,Anjaw,Unknown,Arunachal Pradesh,True,28.1715853,96.6504862,29.235932788914383,control (non-VVP),True,,0.03375511310583233,0,2
28,Baligam,Anjaw,Unknown,Arunachal Pradesh,True,28.1433091,96.5356291,29.43782006027962,control (non-VVP),True,,0.040585023053012315,0,2
29,Sethi,Anjaw,Unknown,Arunachal Pradesh,True,28.055845,96.9797354,30.465233345920453,control (non-VVP),True,,0.04730097945948899,0,3
30,Challang,Anjaw,Unknown,Arunachal Pradesh,True,28.1551886,96.6522501,30.782237092846348,control (non-VVP),True,,0.03610811469554317,0,2
31,Matiliang 266674,Anjaw,Unknown,Arunachal Pradesh,True,28.1076072,96.445203,30.920931427207496,control (non-VVP),True,,0.03847038226786318,0,2
32,Tololiang,Anjaw,Unknown,Arunachal Pradesh,True,28.1256641,96.547808,31.674637251537064,control (non-VVP),True,,0.03267568569681484,0,2
33,Chamemla,Anjaw,Unknown,Arunachal Pradesh,True,28.1286743,96.5620271,31.85281522562808,control (non-VVP),True,,0.03135876220325946,0,2
34,Bulimina,Anjaw,Unknown,Arunachal Pradesh,True,28.1406221,96.6583188,31.954247870225128,control (non-VVP),True,,0.04664871083618441,0,2
35,Hoiliang 266714,Anjaw,Unknown,Arunachal Pradesh,True,28.0981287,96.4478867,32.0053640309043,control (non-VVP),True,,0.04534985764718618,0,2
36,Tuboka,Anjaw,Unknown,Arunachal Pradesh,True,28.1222299,96.5542939,32.24772241518634,control (non-VVP),True,,0.03262893398042413,0,2
37,Tikromna,Anjaw,Unknown,Arunachal Pradesh,True,28.1182382,96.5447809,32.358005180805385,control (non-VVP),True,,0.05055913059614682,0,2
38,Adomla,Anjaw,Unknown,Arunachal Pradesh,True,28.1135364,96.5375112,32.63931418458326,control (non-VVP),True,,0.05038209855281985,0,2
39,Tafraliang,Anjaw,Unknown,Arunachal Pradesh,True,28.0886403,96.4529695,33.153023601738646,control (non-VVP),True,,0.06849362561575296,0,2
40,Paluliang,Anjaw,Unknown,Arunachal Pradesh,True,28.1167741,96.5706359,33.39289000170816,control (non-VVP),True,,0.035377582415906016,0,2
41,Tikromla,Anjaw,Unknown,Arunachal Pradesh,True,28.0971168,96.5348369,34.31385251032624,control (non-VVP),True,,0.043025924877665725,0,2
42,Champhai,Anjaw,Unknown,Arunachal Pradesh,True,28.1085212,96.57408,34.3674923444699,control (non-VVP),True,,0.03433376607394246,0,2
43,Chirang 266667,Anjaw,Unknown,Arunachal Pradesh,True,28.0684239,96.4069505,34.51581155631747,control (non-VVP),True,,0.034346772734928185,0,2
44,Barafu,Anjaw,Unknown,Arunachal Pradesh,True,28.1017011,96.558488,34.52797727422521,control (non-VVP),True,,0.039008323701646495,0,2
45,Langum,Anjaw,Unknown,Arunachal Pradesh,True,28.1218659,96.6112899,34.76622900601115,control (non-VVP),True,,0.04399292528797573,0,2
46,Khupa Village 266673,Anjaw,Unknown,Arunachal Pradesh,True,28.0771387,96.4736667,34.92083910596573,control (non-VVP),True,,0.07877106835516533,0,2
47,Hayugam,Anjaw,Unknown,Arunachal Pradesh,True,28.0893566,96.5438268,35.3843601683056,control (non-VVP),True,,0.03247433026368757,0,2
48,Kalamdia,Anjaw,Unknown,Arunachal Pradesh,True,28.0994655,96.5765815,35.38966199183561,control (non-VVP),True,,0.06141951715647988,0,2
49,Khugam,Anjaw,Unknown,Arunachal Pradesh,True,28.0970181,96.5765587,35.64039244454056,control (non-VVP),True,,0.061203361316065505,0,2
50,Swami Camp,Anjaw,Unknown,Arunachal Pradesh,True,28.0761921,96.5004673,35.71663701514807,control (non-VVP),True,,0.18018438458611613,0,2
51,Chameliang,Anjaw,Unknown,Arunachal Pradesh,True,28.081538,96.5395274,36.10070905223501,control (non-VVP),True,,0.0864430740512809,0,2
52,Nenuliang,Anjaw,Unknown,Arunachal Pradesh,True,28.0695914,96.5025516,36.47740878026867,control (non-VVP),True,,0.06124339721118211,0,2
53,Khupa Township,Anjaw,Unknown,Arunachal Pradesh,True,28.0654038,96.4926664,36.669653927690405,control (non-VVP),True,,0.22677006914153394,0,2
54,Amliang,Anjaw,Unknown,Arunachal Pradesh,True,28.0586788,96.4688356,36.772239821896335,control (non-VVP),True,,0.09529664963388916,0,2
55,Mompani,Anjaw,Unknown,Arunachal Pradesh,True,28.0513007,96.4415599,36.90022530314944,control (non-VVP),True,,0.07644722895436781,0,2
56,Langjon,Anjaw,Unknown,Arunachal Pradesh,True,28.053427,96.4586965,37.07185575220221,control (non-VVP),True,,0.05758132309314368,0,2
57,Thamptong 266699,Anjaw,Unknown,Arunachal Pradesh,True,28.0678982,96.519264,37.09174843787751,control (non-VVP),True,,0.03260442208172669,0,2
58,Talang,Anjaw,Unknown,Arunachal Pradesh,True,28.0840788,96.5820921,37.17372787408739,control (non-VVP),True,,0.031679213844390534,0,2
59,Mahikong,Anjaw,Unknown,Arunachal Pradesh,True,28.0544424,96.4828253,37.58834433224498,control (non-VVP),True,,0.05461893174755482,0,2
60,Tepang,Anjaw,Unknown,Arunachal Pradesh,True,27.9688421,96.7188848,37.9259149195321,control (non-VVP),True,,0.04862812758865089,1,6
61,Blom,Anjaw,Unknown,Arunachal Pradesh,True,28.0783604,96.5876028,37.96428159431192,control (non-VVP),True,,0.0319124123427362,0,2
62,布拉母哈岗,Anjaw,Unknown,Arunachal Pradesh,True,28.0669816,96.5559722,38.103619818542384,control (non-VVP),True,,0.08103144085338092,0,2
63,Kamba,Anjaw,Unknown,Arunachal Pradesh,True,28.0665856,96.5608784,38.29061279666109,control (non-VVP),True,,0.065093584981698,0,2
64,Chillang,Anjaw,Unknown,Arunachal Pradesh,True,28.0356469,96.4227016,38.30913224271945,control (non-VVP),True,,0.03471574785374431,0,2
65,Chingraliang 266703,Anjaw,Unknown,Arunachal Pradesh,True,28.0460551,96.4835718,38.5057562974661,control (non-VVP),True,,0.034721306897906104,0,2
66,Mele 266697,Anjaw,Unknown,Arunachal Pradesh,True,28.0533163,96.5470204,39.31156367802646,control (non-VVP),True,,0.033240361495631844,0,2
67,Karangliang,Anjaw,Unknown,Arunachal Pradesh,True,28.0328845,96.4619146,39.35483127096242,control (non-VVP),True,,0.032532317575861544,0,2
68,Naraliang,Anjaw,Unknown,Arunachal Pradesh,True,28.0272329,96.4412739,39.516581462951535,control (non-VVP),True,,0.04600371279944791,0,2
69,Takaliang,Anjaw,Unknown,Arunachal Pradesh,True,28.0190688,96.4160791,40.05087119190448,control (non-VVP),True,,0.03298005136314533,0,2
70,Chiphugam 266713,Anjaw,Unknown,Arunachal Pradesh,True,28.0127703,96.4014324,40.608662519250345,control (non-VVP),True,,0.03415362988868344,0,2
71,Khorlang,Anjaw,Unknown,Arunachal Pradesh,True,28.0257952,96.487329,40.77244573605165,control (non-VVP),True,,0.031995447694431044,0,2
72,Tummla,Anjaw,Unknown,Arunachal Pradesh,True,28.0474659,96.582792,40.9916149981248,control (non-VVP),True,,0.09730846881851404,0,2
73,Matong,Anjaw,Unknown,Arunachal Pradesh,True,28.0593901,96.6181031,41.1988576731284,control (non-VVP),True,,0.031993151350879524,0,2
74,Paya,Anjaw,Unknown,Arunachal Pradesh,True,28.0083682,96.4228615,41.3081896196448,control (non-VVP),True,,0.04236624505882523,0,2
75,Supnung,Anjaw,Unknown,Arunachal Pradesh,True,28.0571961,96.6182474,41.42029518150113,control (non-VVP),True,,0.03063685542477922,0,2
76,Bruini,Dibang Valley,Unknown,Arunachal Pradesh,True,29.1545325,96.1488625,4.739801400488968,control (non-VVP),True,0.0320080678674742,0.0397604909361062,6.0,21.0
77,Andrala Omkar,Dibang Valley,Unknown,Arunachal Pradesh,True,29.0623725,95.6169709,12.5097504539976,control (non-VVP),True,0.0415621642460875,0.0356276305231129,3.0,10.0
78,阿进,Dibang Valley,Unknown,Arunachal Pradesh,True,29.0685,96.0265797,14.471694450516267,control (non-VVP),True,0.0332026955768702,0.0440209179537531,6.0,21.0
79,Mawu,Dibang Valley,Unknown,Arunachal Pradesh,True,29.0571162,96.0144078,15.67462930303044,control (non-VVP),True,0.0318041563269627,0.0362711719783275,6.0,21.0
80,阿普衣,Dibang Valley,Unknown,Arunachal Pradesh,True,29.0043871,95.9701987,20.09789314478475,control (non-VVP),True,0.0506326225308868,0.0440938679911269,6.0,21.0
81,Dambuen,Dibang Valley,Unknown,Arunachal Pradesh,True,28.931081,95.9752764,21.21593602485472,control (non-VVP),True,0.0468164950727099,0.0657574171053405,6.0,21.0
82,Basam,Dibang Valley,Unknown,Arunachal Pradesh,True,29.0406371,95.8135986,21.81207441458054,control (non-VVP),True,0.0402379655802039,0.0393501781077187,3.0,10.0
83,Rilley,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8599437,95.9809166,22.764206356793835,control (non-VVP),True,0.0345252056312677,0.03525346959275,16.0,37.0
84,dian,Dibang Valley,Unknown,Arunachal Pradesh,True,28.9488654,95.6849583,23.39036782499988,control (non-VVP),True,0.0304143402888771,0.0313606587674856,3.0,10.0
85,埃巴尼,Dibang Valley,Unknown,Arunachal Pradesh,True,29.0173756,95.8081057,23.9627626264192,control (non-VVP),True,0.0354652028402778,0.0369761417498298,3.0,10.0
86,Atalin,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8368966,95.9659782,25.176539267310137,control (non-VVP),True,0.0840633762148575,0.095727433938412,16.0,37.0
87,Ahunli,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8345474,95.9597204,25.83864178208416,control (non-VVP),True,0.1077720930270938,0.1510928793834478,16.0,37.0
88,Abali,Dibang Valley,Unknown,Arunachal Pradesh,True,28.99724,95.8076255,26.034179785880767,control (non-VVP),True,0.0319576875633351,0.0327217444826722,3.0,10.0
89,Beyanli,Dibang Valley,Unknown,Arunachal Pradesh,True,28.9959135,95.8079275,26.18250955105191,control (non-VVP),True,0.0317023946830683,0.0323861348637192,3.0,10.0
90,Awalin,Dibang Valley,Unknown,Arunachal Pradesh,True,28.7056681,96.1699665,26.211338075489483,control (non-VVP),True,,0.03816683822870632,10,16
91,Singo,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8257925,95.9457494,27.496207989464107,control (non-VVP),True,0.0448530440430127,0.0623541845221997,16.0,37.0
92,Mihundo,Dibang Valley,Unknown,Arunachal Pradesh,True,28.829056,95.9393137,27.89030060387755,control (non-VVP),True,0.0480031666749056,0.0571856709759755,16.0,37.0
93,Akolin,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8236778,95.9416852,27.95640540054999,control (non-VVP),True,0.0551116880837993,0.0708765265234395,16.0,37.0
94,Ayongo,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8230669,95.9418373,27.97493894289717,control (non-VVP),True,0.0548766550386976,0.0691053536263332,16.0,37.0
95,Ahunli,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8140704,95.9419262,28.44828524069856,control (non-VVP),True,0.0307481124174627,0.0339348118795666,16.0,37.0
